seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
72.61711359024048,2021-01-01-22:03:15,735199,6161405,116764447,2168069,0.1066,0.2532,0.15,0.9384
155.45887279510498,2021-01-01-22:04:38,2395991,1411134,121514718,507277,0.6293,0.8253,0.7141,0.4852
238.33961033821106,2021-01-01-22:06:01,2547727,580390,122345462,355541,0.8145,0.8775,0.8448,0.255
321.23550176620483,2021-01-01-22:07:24,2564955,337945,122587907,338313,0.8836,0.8835,0.8835,0.1625
404.1146013736725,2021-01-01-22:08:46,2605778,304285,122621567,297490,0.8954,0.8975,0.8965,0.1326
486.766233921051,2021-01-01-22:10:09,2587634,378054,122547798,315634,0.8725,0.8913,0.8818,0.1394
569.5538234710693,2021-01-01-22:11:32,2591315,293430,122632422,311953,0.8983,0.8926,0.8954,0.1238
652.3478562831879,2021-01-01-22:12:55,2641869,256751,122669101,261399,0.9114,0.91,0.9107,0.105
735.1409027576447,2021-01-01-22:14:17,2707547,318036,122607816,195721,0.8949,0.9326,0.9133,0.1007
817.9298286437988,2021-01-01-22:15:40,2611843,213683,122712169,291425,0.9244,0.8996,0.9118,0.1022
900.6658673286438,2021-01-01-22:17:03,2691729,222244,122703608,211539,0.9237,0.9271,0.9254,0.0865
983.3542659282684,2021-01-01-22:18:26,2697834,221420,122704432,205434,0.9242,0.9292,0.9267,0.0843
1065.9921369552612,2021-01-01-22:19:48,2735363,213603,122712249,167905,0.9276,0.9422,0.9348,0.0751
1148.7436888217926,2021-01-01-22:21:11,2730000,198100,122727752,173268,0.9323,0.9403,0.9363,0.0732
1231.4505288600922,2021-01-01-22:22:34,2731048,187034,122738818,172220,0.9359,0.9407,0.9383,0.0705
1314.3374648094177,2021-01-01-22:23:57,2718067,175529,122750323,185201,0.9393,0.9362,0.9378,0.0701
1397.043880224228,2021-01-01-22:25:19,2733163,185674,122740178,170105,0.9364,0.9414,0.9389,0.0692
1479.7338073253632,2021-01-01-22:26:42,2749366,183676,122742176,153902,0.9374,0.947,0.9422,0.0656
1562.5256786346436,2021-01-01-22:28:05,2734880,156216,122769636,168388,0.946,0.942,0.944,0.0628
1645.3829474449158,2021-01-01-22:29:28,2752085,174252,122751600,151183,0.9405,0.9479,0.9442,0.0623
1728.2546195983887,2021-01-01-22:30:51,2746671,212579,122713273,156597,0.9282,0.9461,0.937,0.0709
1811.014568567276,2021-01-01-22:32:13,2717391,167852,122758000,185877,0.9418,0.936,0.9389,0.068
1893.6360969543457,2021-01-01-22:33:36,2744887,172616,122753236,158381,0.9408,0.9454,0.9431,0.0636
1976.4744691848755,2021-01-01-22:34:59,2754232,163537,122762315,149036,0.944,0.9487,0.9463,0.06
2059.3116657733917,2021-01-01-22:36:22,2760165,181447,122744405,143103,0.9383,0.9507,0.9445,0.0617
2142.1037409305573,2021-01-01-22:37:44,2737712,146286,122779566,165556,0.9493,0.943,0.9461,0.0599
2225.0011558532715,2021-01-01-22:39:07,2748159,171064,122754788,155109,0.9414,0.9466,0.944,0.062
2307.8771295547485,2021-01-01-22:40:30,2753610,158028,122767824,149658,0.9457,0.9485,0.9471,0.0588
2390.692781686783,2021-01-01-22:41:53,2751717,160936,122764916,151551,0.9447,0.9478,0.9463,0.0595
2473.4381844997406,2021-01-01-22:43:16,2763031,151224,122774628,140237,0.9481,0.9517,0.9499,0.0558
2556.113695859909,2021-01-01-22:44:38,2754638,137983,122787869,148630,0.9523,0.9488,0.9505,0.0547
2639.03008890152,2021-01-01-22:46:01,2750254,140104,122785748,153014,0.9515,0.9473,0.9494,0.0558
2721.654776573181,2021-01-01-22:47:24,2767601,148411,122777441,135667,0.9491,0.9533,0.9512,0.054
2804.4615440368652,2021-01-01-22:48:47,2765800,147356,122778496,137468,0.9494,0.9527,0.951,0.0541
2887.1500930786133,2021-01-01-22:50:10,2775895,140331,122785521,127373,0.9519,0.9561,0.954,0.0509
2969.8296115398407,2021-01-01-22:51:32,2760426,140291,122785561,142842,0.9516,0.9508,0.9512,0.0538
3052.603598833084,2021-01-01-22:52:55,2773919,141925,122783927,129349,0.9513,0.9554,0.9534,0.0515
3135.276525259018,2021-01-01-22:54:18,2770960,131190,122794662,132308,0.9548,0.9544,0.9546,0.0499
3218.0565905570984,2021-01-01-22:55:40,2774988,147839,122778013,128280,0.9494,0.9558,0.9526,0.0523
3300.7469720840454,2021-01-01-22:57:03,2778227,144955,122780897,125041,0.9504,0.9569,0.9537,0.0508
3383.6042454242706,2021-01-01-22:58:26,2770616,127984,122797868,132652,0.9558,0.9543,0.9551,0.0496
3466.390873193741,2021-01-01-22:59:49,2782965,133022,122792830,120303,0.9544,0.9586,0.9565,0.0481
3549.1915769577026,2021-01-01-23:01:12,2775219,116570,122809282,128049,0.9597,0.9559,0.9578,0.0466
3632.077318429947,2021-01-01-23:02:34,2790188,125102,122800750,113080,0.9571,0.9611,0.9591,0.0451
