seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
70.51402711868286,2021-01-03-15:59:41,233397,6684482,116241180,2670061,0.0337,0.0804,0.0475,1.0025
150.38635087013245,2021-01-03-16:01:01,3,67206,122858456,2903455,0.0,0.0,0.0,0.7316
231.5584499835968,2021-01-03-16:02:22,1676,12,122925650,2901782,0.9929,0.0006,0.0012,0.5346
313.73014283180237,2021-01-03-16:03:44,2220004,324025,122601637,683454,0.8726,0.7646,0.8151,0.2504
396.66730213165283,2021-01-03-16:05:07,2604465,479336,122446326,298993,0.8446,0.897,0.87,0.1645
479.67959785461426,2021-01-03-16:06:30,2612117,345872,122579790,291341,0.8831,0.8997,0.8913,0.1319
562.3480312824249,2021-01-03-16:07:53,2659364,302907,122622755,244094,0.8977,0.9159,0.9067,0.1115
644.8888709545135,2021-01-03-16:09:15,2631572,281392,122644270,271886,0.9034,0.9064,0.9049,0.1112
727.4199883937836,2021-01-03-16:10:38,2628760,239376,122686286,274698,0.9165,0.9054,0.9109,0.1032
809.959685087204,2021-01-03-16:12:01,2679403,291638,122634024,224055,0.9018,0.9228,0.9122,0.101
892.3384940624237,2021-01-03-16:13:23,2640542,240016,122685646,262916,0.9167,0.9094,0.913,0.0989
974.8278002738953,2021-01-03-16:14:45,2666172,285263,122640399,237286,0.9033,0.9183,0.9108,0.1023
1057.1886775493622,2021-01-03-16:16:08,2667395,247708,122677954,236063,0.915,0.9187,0.9169,0.0933
1139.571287870407,2021-01-03-16:17:30,2720735,278964,122646698,182723,0.907,0.9371,0.9218,0.0886
1222.0038075447083,2021-01-03-16:18:53,2713159,241832,122683830,190299,0.9182,0.9345,0.9262,0.0839
1304.3908097743988,2021-01-03-16:20:15,2682755,226111,122699551,220703,0.9223,0.924,0.9231,0.0855
1386.6158304214478,2021-01-03-16:21:37,2688850,231421,122694241,214608,0.9208,0.9261,0.9234,0.0854
1469.0482439994812,2021-01-03-16:23:00,2660630,224887,122700775,242828,0.9221,0.9164,0.9192,0.0904
1551.4833989143372,2021-01-03-16:24:22,2691686,223059,122702603,211772,0.9235,0.9271,0.9253,0.0832
1633.895093202591,2021-01-03-16:25:44,2716796,261938,122663724,186662,0.9121,0.9357,0.9237,0.0844
1716.2453699111938,2021-01-03-16:27:07,2707370,215043,122710619,196088,0.9264,0.9325,0.9294,0.0782
1798.6220927238464,2021-01-03-16:28:29,2726443,213275,122712387,177015,0.9275,0.939,0.9332,0.0739
1880.9575304985046,2021-01-03-16:29:52,2717657,199328,122726334,185801,0.9317,0.936,0.9338,0.0734
1963.4349267482758,2021-01-03-16:31:14,2720738,198832,122726830,182720,0.9319,0.9371,0.9345,0.0722
2045.8825776576996,2021-01-03-16:32:36,2738339,200642,122725020,165119,0.9317,0.9431,0.9374,0.0695
2128.296335697174,2021-01-03-16:33:59,2731682,205165,122720497,171776,0.9301,0.9408,0.9355,0.0706
2210.6219851970673,2021-01-03-16:35:21,2719877,211491,122714171,183581,0.9279,0.9368,0.9323,0.074
2293.1581745147705,2021-01-03-16:36:44,2707416,203678,122721984,196042,0.93,0.9325,0.9313,0.0753
2375.6001439094543,2021-01-03-16:38:06,2682884,222836,122702826,220574,0.9233,0.924,0.9237,0.0842
2458.1227974891663,2021-01-03-16:39:29,2697367,236156,122689506,206091,0.9195,0.929,0.9242,0.0825
2540.512939453125,2021-01-03-16:40:51,2713501,214787,122710875,189957,0.9267,0.9346,0.9306,0.0756
2622.9240531921387,2021-01-03-16:42:14,2708911,226399,122699263,194547,0.9229,0.933,0.9279,0.0793
2705.3623552322388,2021-01-03-16:43:36,2712774,213726,122711936,190684,0.927,0.9343,0.9306,0.0758
2787.8464901447296,2021-01-03-16:44:58,2729056,196454,122729208,174402,0.9328,0.9399,0.9364,0.0699
2870.2713544368744,2021-01-03-16:46:21,2726957,179121,122746541,176501,0.9384,0.9392,0.9388,0.0669
2952.612996816635,2021-01-03-16:47:43,2748423,199084,122726578,155035,0.9325,0.9466,0.9395,0.0665
3035.262636899948,2021-01-03-16:49:06,2731696,180213,122745449,171762,0.9381,0.9408,0.9395,0.0665
3117.803760290146,2021-01-03-16:50:28,2716467,177511,122748151,186991,0.9387,0.9356,0.9371,0.069
3200.27242064476,2021-01-03-16:51:51,2735828,173463,122752199,167630,0.9404,0.9423,0.9413,0.0641
3282.8615691661835,2021-01-03-16:53:13,2758053,180555,122745107,145405,0.9386,0.9499,0.9442,0.0612
3365.4137601852417,2021-01-03-16:54:36,2736978,158900,122766762,166480,0.9451,0.9427,0.9439,0.0618
3447.9109048843384,2021-01-03-16:55:58,2745900,180472,122745190,157558,0.9383,0.9457,0.942,0.0633
3530.4582335948944,2021-01-03-16:57:21,2747774,153914,122771748,155684,0.947,0.9464,0.9467,0.0583
3612.835011959076,2021-01-03-16:58:43,2747191,165877,122759785,156267,0.9431,0.9462,0.9446,0.0608
3695.2880942821503,2021-01-03-17:00:06,2749930,167868,122757794,153528,0.9425,0.9471,0.9448,0.0604
3777.831536769867,2021-01-03-17:01:28,2724175,160452,122765210,179283,0.9444,0.9383,0.9413,0.0639
3860.2298007011414,2021-01-03-17:02:51,2759673,160047,122765615,143785,0.9452,0.9505,0.9478,0.0572
3942.6231496334076,2021-01-03-17:04:13,2765577,172441,122753221,137881,0.9413,0.9525,0.9469,0.0582
4025.063308954239,2021-01-03-17:05:36,2748746,130817,122794845,154712,0.9546,0.9467,0.9506,0.0538
4107.5240025520325,2021-01-03-17:06:58,2770694,141399,122784263,132764,0.9514,0.9543,0.9529,0.0518
4189.865062236786,2021-01-03-17:08:20,2761049,149132,122776530,142409,0.9488,0.951,0.9499,0.0551
