seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
71.80504846572876,2020-12-30-22:00:33,305753,4806543,118605593,2111231,0.0598,0.1265,0.0812,0.9911
180.89473247528076,2020-12-30-22:02:22,1378588,10931594,112788593,730345,0.112,0.6537,0.1912,0.912
292.3774924278259,2020-12-30-22:04:13,1149534,2611844,121084301,983441,0.3056,0.5389,0.39,0.7486
404.352507352829,2020-12-30-22:06:05,1600762,1470436,122022190,735732,0.5212,0.6851,0.592,0.4838
516.6222414970398,2020-12-30-22:07:58,1708617,1186598,122315766,618139,0.5902,0.7343,0.6544,0.3967
628.8082704544067,2020-12-30-22:09:50,1823855,880223,122591913,533129,0.6745,0.7738,0.7207,0.3164
741.0241930484772,2020-12-30-22:11:42,1743356,908084,122626463,551217,0.6575,0.7598,0.705,0.3243
853.3304851055145,2020-12-30-22:13:34,1829857,788582,122725901,484780,0.6988,0.7906,0.7419,0.2839
965.4545435905457,2020-12-30-22:15:27,1677177,559996,123097021,494926,0.7497,0.7721,0.7607,0.2843
1077.557648897171,2020-12-30-22:17:19,1958370,477071,122938985,454694,0.8041,0.8116,0.8078,0.2091
1189.8196151256561,2020-12-30-22:19:11,1598126,427927,123434402,368665,0.7888,0.8126,0.8005,0.2427
1302.1464478969574,2020-12-30-22:21:03,1834648,468406,123240937,285129,0.7966,0.8655,0.8296,0.193
1414.7328133583069,2020-12-30-22:22:56,1881794,339524,123278563,329239,0.8472,0.8511,0.8491,0.1712
1527.1689569950104,2020-12-30-22:24:48,2159528,462303,122934434,272855,0.8237,0.8878,0.8545,0.1582
1639.7833964824677,2020-12-30-22:26:41,2133269,315326,123121612,258913,0.8712,0.8918,0.8814,0.1352
1752.2435500621796,2020-12-30-22:28:33,1702475,280021,123609084,237540,0.8588,0.8776,0.8681,0.1518
1864.5935456752777,2020-12-30-22:30:26,2023652,282035,123261705,261728,0.8777,0.8855,0.8816,0.1334
1977.240396976471,2020-12-30-22:32:18,2115849,368870,123014254,330147,0.8515,0.865,0.8582,0.1551
2089.7404115200043,2020-12-30-22:34:11,2107443,354273,123112459,254945,0.8561,0.8921,0.8737,0.1365
2202.1303005218506,2020-12-30-22:36:03,1848170,233984,123527927,219039,0.8876,0.894,0.8908,0.1232
2314.442855358124,2020-12-30-22:37:56,2138027,290450,123114472,286171,0.8804,0.882,0.8812,0.1347
2426.919822216034,2020-12-30-22:39:48,1939135,355585,123328855,205545,0.845,0.9042,0.8736,0.1603
2539.226131439209,2020-12-30-22:41:40,2015404,377841,123110999,324876,0.8421,0.8612,0.8515,0.1642
2651.925526857376,2020-12-30-22:43:33,1993616,269018,123277825,288661,0.8811,0.8735,0.8773,0.1352
2764.3523149490356,2020-12-30-22:45:25,2148718,237470,123223401,219531,0.9005,0.9073,0.9039,0.1061
2876.775149345398,2020-12-30-22:47:18,2084625,268470,123240659,235366,0.8859,0.8985,0.8922,0.1202
2989.428517103195,2020-12-30-22:49:11,2064200,229381,123309590,225949,0.9,0.9013,0.9007,0.1145
3102.031757593155,2020-12-30-22:51:03,2143092,268281,123208923,208824,0.8887,0.9112,0.8998,0.107
3214.4017338752747,2020-12-30-22:52:56,1944657,200025,123471383,213055,0.9067,0.9013,0.904,0.1052
3326.661555290222,2020-12-30-22:54:48,2209568,232340,123202239,184973,0.9049,0.9228,0.9137,0.0943
3438.880347967148,2020-12-30-22:56:40,1958848,204284,123511395,154593,0.9056,0.9269,0.9161,0.0989
3551.284791469574,2020-12-30-22:58:32,2172098,248241,123219092,189689,0.8974,0.9197,0.9084,0.099
3663.827710866928,2020-12-30-23:00:25,1877127,165912,123605010,181071,0.9188,0.912,0.9154,0.0971
3776.3816182613373,2020-12-30-23:02:18,2105111,229984,123313037,180988,0.9015,0.9208,0.9111,0.0988
3888.806225299835,2020-12-30-23:04:10,1936709,192630,123545275,154506,0.9095,0.9261,0.9178,0.0909
4001.444901704788,2020-12-30-23:06:03,2214714,238824,123177506,198076,0.9027,0.9179,0.9102,0.1111
4113.927082061768,2020-12-30-23:07:55,1783558,199656,123536002,309904,0.8993,0.852,0.875,0.1446
4226.300676584244,2020-12-30-23:09:47,1999307,221358,123421523,186932,0.9003,0.9145,0.9074,0.1017
4338.616000652313,2020-12-30-23:11:40,1967291,221218,123430759,209852,0.8989,0.9036,0.9013,0.1099
4450.928576469421,2020-12-30-23:13:32,1976098,230999,123441794,180229,0.8953,0.9164,0.9058,0.1009
4563.472984075546,2020-12-30-23:15:25,2055436,211206,123344587,217891,0.9068,0.9042,0.9055,0.102
4676.080229997635,2020-12-30-23:17:17,1930398,232941,123513463,152318,0.8923,0.9269,0.9093,0.0963
4788.952646970749,2020-12-30-23:19:10,2074881,199943,123362300,191996,0.9121,0.9153,0.9137,0.0916
4901.645273447037,2020-12-30-23:21:03,1896567,210017,123572723,149813,0.9003,0.9268,0.9134,0.0908
5014.071755409241,2020-12-30-23:22:55,1991304,173531,123486593,177692,0.9198,0.9181,0.919,0.0956
5126.6133580207825,2020-12-30-23:24:48,1922850,190730,123542551,172989,0.9098,0.9175,0.9136,0.0912
5239.197069644928,2020-12-30-23:26:40,1834144,180872,123667563,146541,0.9102,0.926,0.9181,0.0922
5351.734852552414,2020-12-30-23:28:33,2123967,211621,123325776,167756,0.9094,0.9268,0.918,0.0893
5463.971628665924,2020-12-30-23:30:25,2164785,254597,123199898,209840,0.8948,0.9116,0.9031,0.1024
5576.612191915512,2020-12-30-23:32:18,1901348,200047,123531865,195860,0.9048,0.9066,0.9057,0.105
5689.086032152176,2020-12-30-23:34:10,1899233,384793,123308031,237063,0.8315,0.889,0.8593,0.1511
5801.784814357758,2020-12-30-23:36:03,1680712,344814,123485825,317769,0.8298,0.841,0.8353,0.1788
5914.662080526352,2020-12-30-23:37:56,1824231,255334,123496257,253298,0.8772,0.8781,0.8776,0.1376
6027.373981952667,2020-12-30-23:39:48,1970499,292253,123363981,202387,0.8708,0.9069,0.8885,0.1229
6139.717149019241,2020-12-30-23:41:41,2040658,233018,123375371,180073,0.8975,0.9189,0.9081,0.0989
6251.95827126503,2020-12-30-23:43:33,2043118,181746,123430560,173696,0.9183,0.9216,0.92,0.0857
6364.303919315338,2020-12-30-23:45:25,2150841,215534,123296230,166515,0.9089,0.9281,0.9184,0.088
6476.956313371658,2020-12-30-23:47:18,2039273,180114,123418047,191686,0.9188,0.9141,0.9165,0.088
6589.626706123352,2020-12-30-23:49:11,2073970,209861,123393482,151807,0.9081,0.9318,0.9198,0.0867
6702.205636739731,2020-12-30-23:51:03,2200584,207347,123241732,179457,0.9139,0.9246,0.9192,0.0891
6815.004372358322,2020-12-30-23:52:56,2051333,193937,123423727,160123,0.9136,0.9276,0.9206,0.0888
6927.715965986252,2020-12-30-23:54:49,1902138,164548,123596933,165501,0.9204,0.92,0.9202,0.0852
7040.145959615707,2020-12-30-23:56:41,1868420,146063,123662511,152126,0.9275,0.9247,0.9261,0.0855
7152.809166908264,2020-12-30-23:58:34,2103671,176484,123398120,150845,0.9226,0.9331,0.9278,0.0797
7265.242183446884,2020-12-31-00:00:26,2196104,200920,123287688,144408,0.9162,0.9383,0.9271,0.0779
7377.928179979324,2020-12-31-00:02:19,1959750,146263,123574930,148177,0.9305,0.9297,0.9301,0.0767
7490.321631193161,2020-12-31-00:04:11,2073385,161859,123435031,158845,0.9276,0.9288,0.9282,0.078
7602.941451072693,2020-12-31-00:06:04,2367643,196167,123114921,150389,0.9235,0.9403,0.9318,0.0727
7715.63733625412,2020-12-31-00:07:57,2051024,182843,123463113,132140,0.9181,0.9395,0.9287,0.0754
7828.360406398773,2020-12-31-00:09:49,2241039,187064,123244308,156709,0.923,0.9346,0.9288,0.0768
7940.768316030502,2020-12-31-00:11:42,1742448,134647,123808166,143859,0.9283,0.9237,0.926,0.0805
8053.406264066696,2020-12-31-00:13:35,2369571,184776,123120959,153814,0.9277,0.939,0.9333,0.0712
8165.943279504776,2020-12-31-00:15:27,2138165,163198,123393975,133782,0.9291,0.9411,0.9351,0.0704
8278.444058418274,2020-12-31-00:17:20,2042254,159857,123480026,146983,0.9274,0.9329,0.9301,0.0803
8390.969756603241,2020-12-31-00:19:12,2258585,175817,123258339,136379,0.9278,0.9431,0.9354,0.0688
8503.456981897354,2020-12-31-00:21:05,2045675,179698,123457764,145983,0.9193,0.9334,0.9263,0.0811
8615.718212127686,2020-12-31-00:22:57,1864116,138429,123682182,144393,0.9309,0.9281,0.9295,0.0756
8728.153534650803,2020-12-31-00:24:49,2025504,203222,123463919,136475,0.9088,0.9369,0.9226,0.0833
8840.792399406433,2020-12-31-00:26:42,1867556,161594,123658177,141793,0.9204,0.9294,0.9249,0.0823
8953.19001698494,2020-12-31-00:28:34,1893467,154336,123652208,129109,0.9246,0.9362,0.9304,0.0777
9065.874117612839,2020-12-31-00:30:27,2158382,155785,123358636,156317,0.9327,0.9325,0.9326,0.0778
9178.6209461689,2020-12-31-00:32:20,2165696,144035,123353611,165778,0.9376,0.9289,0.9332,0.0711
9291.117356300354,2020-12-31-00:34:12,2173101,170533,123358910,126576,0.9272,0.945,0.936,0.0688
9404.130048036575,2020-12-31-00:36:05,2245519,184367,123265194,134040,0.9241,0.9437,0.9338,0.0719
9516.839982509613,2020-12-31-00:37:58,2280931,152332,123236300,159557,0.9374,0.9346,0.936,0.0678
9629.520899772644,2020-12-31-00:39:51,2314996,162139,123210073,141912,0.9345,0.9422,0.9384,0.0659
9742.291984558105,2020-12-31-00:41:43,1858948,138186,123706304,125682,0.9308,0.9367,0.9337,0.0769
9854.963212490082,2020-12-31-00:43:36,2179872,157865,123369128,122255,0.9325,0.9469,0.9396,0.0659
9967.36316204071,2020-12-31-00:45:28,1998940,139566,123555992,134622,0.9347,0.9369,0.9358,0.0692
10080.103119134903,2020-12-31-00:47:21,2156664,139293,123384249,148914,0.9393,0.9354,0.9374,0.0675
10192.623735427856,2020-12-31-00:49:14,1980502,157183,123562560,128875,0.9265,0.9389,0.9326,0.0729
10305.183033943176,2020-12-31-00:51:06,1971684,136059,123575501,145876,0.9354,0.9311,0.9333,0.077
10417.714111328125,2020-12-31-00:52:59,1932584,122453,123634819,139264,0.9404,0.9328,0.9366,0.0679
10530.29945230484,2020-12-31-00:54:51,2011086,141582,123556915,119537,0.9342,0.9439,0.939,0.0652
10642.879153490067,2020-12-31-00:56:44,2029195,156893,123495954,147078,0.9282,0.9324,0.9303,0.076
10755.25633764267,2020-12-31-00:58:36,2218704,150050,123310460,149906,0.9367,0.9367,0.9367,0.0671
10867.688936471939,2020-12-31-01:00:29,1923445,138863,123637266,129546,0.9327,0.9369,0.9348,0.0698
10980.448518514633,2020-12-31-01:02:22,2144460,148598,123401022,135040,0.9352,0.9408,0.938,0.0673
11093.215618133545,2020-12-31-01:04:14,1904427,147852,123637292,139549,0.928,0.9317,0.9298,0.0738
11205.677838802338,2020-12-31-01:06:07,1966133,141914,123594752,126321,0.9327,0.9396,0.9361,0.0678
11318.200987100601,2020-12-31-01:07:59,2291377,166534,123209449,161760,0.9322,0.9341,0.9332,0.0725
11430.480622291565,2020-12-31-01:09:52,2011522,123787,123557810,136001,0.942,0.9367,0.9393,0.0677
11542.880239486694,2020-12-31-01:11:44,1849548,149354,123717505,112713,0.9253,0.9426,0.9338,0.0717
11655.416081428528,2020-12-31-01:13:37,2007649,162744,123543002,115725,0.925,0.9455,0.9351,0.0703
11767.814219713211,2020-12-31-01:15:29,2349421,171656,123175451,132592,0.9319,0.9466,0.9392,0.0653
11880.242889642715,2020-12-31-01:17:21,2078178,146012,123462003,142927,0.9344,0.9357,0.935,0.0699
11992.935215711594,2020-12-31-01:19:14,2408510,161604,123080950,178056,0.9371,0.9312,0.9341,0.0696
