seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
8.99738597869873,2020-12-30-00:42:04,16595,4705158,21926119,90816,0.0035,0.1545,0.0069,1.3965
19.634397506713867,2020-12-30-00:42:15,25,165,26631112,107386,0.1316,0.0002,0.0005,1.0449
30.265649795532227,2020-12-30-00:42:26,17656,14917,26616360,89755,0.542,0.1644,0.2523,0.9198
40.88673162460327,2020-12-30-00:42:36,79484,230986,26400291,27927,0.256,0.74,0.3804,0.802
51.55114030838013,2020-12-30-00:42:47,59873,166611,26464666,47538,0.2644,0.5574,0.3586,0.8158
62.227683544158936,2020-12-30-00:42:58,41565,96852,26534425,65846,0.3003,0.387,0.3382,0.7315
72.86941695213318,2020-12-30-00:43:08,71894,37127,26594150,35517,0.6595,0.6693,0.6644,0.3888
83.38634419441223,2020-12-30-00:43:19,37734,53193,26578084,69677,0.415,0.3513,0.3805,0.639
94.00124669075012,2020-12-30-00:43:29,53180,61946,26569331,54231,0.4619,0.4951,0.4779,0.5505
104.56725001335144,2020-12-30-00:43:40,74633,73313,26557964,32778,0.5045,0.6948,0.5845,0.4344
115.22502374649048,2020-12-30-00:43:51,64766,40889,26590388,42645,0.613,0.603,0.6079,0.4327
125.7859992980957,2020-12-30-00:44:01,59078,78144,26553133,48333,0.4305,0.55,0.483,0.6091
136.43457555770874,2020-12-30-00:44:12,86788,101492,26529785,20623,0.461,0.808,0.587,0.4264
147.04450726509094,2020-12-30-00:44:22,72237,27537,26603740,35174,0.724,0.6725,0.6973,0.3385
157.66576266288757,2020-12-30-00:44:33,83306,34130,26597147,24105,0.7094,0.7756,0.741,0.2912
168.3088459968567,2020-12-30-00:44:44,80164,29075,26602202,27247,0.7338,0.7463,0.74,0.2806
178.88502264022827,2020-12-30-00:44:54,83251,29512,26601765,24160,0.7383,0.7751,0.7562,0.2578
189.57841110229492,2020-12-30-00:45:05,81515,25086,26606191,25896,0.7647,0.7589,0.7618,0.254
200.16013765335083,2020-12-30-00:45:15,85928,29577,26601700,21483,0.7439,0.8,0.7709,0.2397
210.71288180351257,2020-12-30-00:45:26,80336,23161,26608116,27075,0.7762,0.7479,0.7618,0.2456
221.3595325946808,2020-12-30-00:45:37,84862,27896,26603381,22549,0.7526,0.7901,0.7709,0.2384
231.9874656200409,2020-12-30-00:45:47,85550,25367,26605910,21861,0.7713,0.7965,0.7837,0.241
242.5219440460205,2020-12-30-00:45:58,84965,24620,26606657,22446,0.7753,0.791,0.7831,0.23
253.11397552490234,2020-12-30-00:46:08,86932,24564,26606713,20479,0.7797,0.8093,0.7942,0.2118
263.75813031196594,2020-12-30-00:46:19,85486,24333,26606944,21925,0.7784,0.7959,0.7871,0.2305
274.2787780761719,2020-12-30-00:46:30,88082,28940,26602337,19329,0.7527,0.82,0.7849,0.224
284.997225522995,2020-12-30-00:46:40,84174,18993,26612284,23237,0.8159,0.7837,0.7995,0.2204
295.6759617328644,2020-12-30-00:46:51,83900,23355,26607922,23511,0.7822,0.7811,0.7817,0.2278
306.29424715042114,2020-12-30-00:47:02,88680,25098,26606179,18731,0.7794,0.8256,0.8018,0.2199
316.9418649673462,2020-12-30-00:47:12,89628,22410,26608867,17783,0.8,0.8344,0.8168,0.2046
327.50543570518494,2020-12-30-00:47:23,90203,22471,26608806,17208,0.8006,0.8398,0.8197,0.192
338.1100285053253,2020-12-30-00:47:33,85986,18436,26612841,21425,0.8234,0.8005,0.8118,0.2093
348.596435546875,2020-12-30-00:47:44,87909,24968,26606309,19502,0.7788,0.8184,0.7981,0.224
359.27734637260437,2020-12-30-00:47:55,90308,23187,26608090,17103,0.7957,0.8408,0.8176,0.1891
369.98870277404785,2020-12-30-00:48:05,89948,19923,26611354,17463,0.8187,0.8374,0.8279,0.176
380.5414047241211,2020-12-30-00:48:16,88942,21253,26610024,18469,0.8071,0.8281,0.8175,0.1942
391.18255519866943,2020-12-30-00:48:26,90202,18321,26612956,17209,0.8312,0.8398,0.8355,0.1762
401.79258966445923,2020-12-30-00:48:37,87596,22388,26608889,19815,0.7964,0.8155,0.8059,0.2042
412.3873071670532,2020-12-30-00:48:48,84700,17619,26613658,22711,0.8278,0.7886,0.8077,0.1987
422.9517970085144,2020-12-30-00:48:58,89131,21955,26609322,18280,0.8024,0.8298,0.8159,0.1923
433.53938150405884,2020-12-30-00:49:09,88606,18144,26613133,18805,0.83,0.8249,0.8275,0.1922
444.1843900680542,2020-12-30-00:49:19,90006,20337,26610940,17405,0.8157,0.838,0.8267,0.1812
454.74314975738525,2020-12-30-00:49:30,89007,16024,26615253,18404,0.8474,0.8287,0.8379,0.18
465.3707392215729,2020-12-30-00:49:41,89188,18479,26612798,18223,0.8284,0.8303,0.8294,0.1787
476.0188603401184,2020-12-30-00:49:51,91604,20278,26610999,15807,0.8188,0.8528,0.8354,0.1801
486.63947439193726,2020-12-30-00:50:02,89898,16109,26615168,17513,0.848,0.837,0.8425,0.1721
497.22000646591187,2020-12-30-00:50:13,94187,21670,26609607,13224,0.813,0.8769,0.8437,0.1672
507.8902189731598,2020-12-30-00:50:23,91871,16931,26614346,15540,0.8444,0.8553,0.8498,0.1573
518.5241878032684,2020-12-30-00:50:34,90367,13258,26618019,17044,0.8721,0.8413,0.8564,0.1512
529.0342354774475,2020-12-30-00:50:44,94319,18007,26613270,13092,0.8397,0.8781,0.8585,0.1486
539.6242859363556,2020-12-30-00:50:55,91391,13724,26617553,16020,0.8694,0.8509,0.86,0.1469
550.2572526931763,2020-12-30-00:51:06,92858,14702,26616575,14553,0.8633,0.8645,0.8639,0.1445
560.8974769115448,2020-12-30-00:51:16,94116,15865,26615412,13295,0.8557,0.8762,0.8659,0.1474
571.5439653396606,2020-12-30-00:51:27,90925,13148,26618129,16486,0.8737,0.8465,0.8599,0.1447
582.1117994785309,2020-12-30-00:51:37,93442,14588,26616689,13969,0.865,0.8699,0.8674,0.1425
592.7321968078613,2020-12-30-00:51:48,94327,14779,26616498,13084,0.8645,0.8782,0.8713,0.1375
603.3255591392517,2020-12-30-00:51:59,93552,12124,26619153,13859,0.8853,0.871,0.8781,0.1304
613.976359128952,2020-12-30-00:52:09,94963,15370,26615907,12448,0.8607,0.8841,0.8722,0.1355
624.4957053661346,2020-12-30-00:52:20,94634,12794,26618483,12777,0.8809,0.881,0.881,0.1237
635.0941960811615,2020-12-30-00:52:30,94447,13757,26617520,12964,0.8729,0.8793,0.8761,0.13
645.7314217090607,2020-12-30-00:52:41,90660,11164,26620113,16751,0.8904,0.844,0.8666,0.1429
656.3455748558044,2020-12-30-00:52:52,94746,14842,26616435,12665,0.8646,0.8821,0.8732,0.1368
666.9461271762848,2020-12-30-00:53:02,98036,16984,26614293,9375,0.8523,0.9127,0.8815,0.1235
677.5056321620941,2020-12-30-00:53:13,94999,12651,26618626,12412,0.8825,0.8844,0.8835,0.1243
688.1702547073364,2020-12-30-00:53:23,95025,12228,26619049,12386,0.886,0.8847,0.8853,0.1211
698.7690777778625,2020-12-30-00:53:34,97481,13712,26617565,9930,0.8767,0.9076,0.8919,0.115
709.3790578842163,2020-12-30-00:53:45,95490,11382,26619895,11921,0.8935,0.889,0.8913,0.1167
719.9880635738373,2020-12-30-00:53:55,95919,12086,26619191,11492,0.8881,0.893,0.8905,0.1186
730.6457810401917,2020-12-30-00:54:06,97367,13857,26617420,10044,0.8754,0.9065,0.8907,0.12
741.226414680481,2020-12-30-00:54:17,96666,12772,26618505,10745,0.8833,0.9,0.8916,0.1131
