seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
9.636037588119507,2020-12-30-11:46:00,26758,2645323,23985954,80653,0.01,0.2491,0.0193,1.3581
20.47811794281006,2020-12-30-11:46:10,2497,43094,26588183,104914,0.0548,0.0232,0.0326,1.0931
31.343127489089966,2020-12-30-11:46:21,91243,212817,26418460,16168,0.3001,0.8495,0.4435,1.0219
42.14330554008484,2020-12-30-11:46:32,98871,137376,26493901,8540,0.4185,0.9205,0.5754,0.974
53.037428855895996,2020-12-30-11:46:43,97530,116711,26514566,9881,0.4552,0.908,0.6064,0.9389
63.89951968193054,2020-12-30-11:46:54,99886,133819,26497458,7525,0.4274,0.9299,0.5856,0.8991
74.63272643089294,2020-12-30-11:47:05,101423,134421,26496856,5988,0.43,0.9443,0.5909,0.8544
85.41094827651978,2020-12-30-11:47:15,95277,75924,26555353,12134,0.5565,0.887,0.6839,0.8066
96.2569968700409,2020-12-30-11:47:26,99526,105962,26525315,7885,0.4843,0.9266,0.6362,0.7548
107.123361825943,2020-12-30-11:47:37,95924,64350,26566927,11487,0.5985,0.8931,0.7167,0.6908
117.96739053726196,2020-12-30-11:47:48,94977,57116,26574161,12434,0.6245,0.8842,0.732,0.6272
128.74115443229675,2020-12-30-11:47:59,94268,44936,26586341,13143,0.6772,0.8776,0.7645,0.5485
139.6032476425171,2020-12-30-11:48:10,92192,52077,26579200,15219,0.639,0.8583,0.7326,0.5023
150.33324432373047,2020-12-30-11:48:20,93385,46428,26584849,14026,0.6679,0.8694,0.7555,0.4532
161.28165912628174,2020-12-30-11:48:31,91276,37069,26594208,16135,0.7112,0.8498,0.7743,0.3937
172.0766384601593,2020-12-30-11:48:42,87009,30747,26600530,20402,0.7389,0.8101,0.7728,0.36
182.89583587646484,2020-12-30-11:48:53,89855,39445,26591832,17556,0.6949,0.8366,0.7592,0.3446
193.66514015197754,2020-12-30-11:49:04,92888,39002,26592275,14523,0.7043,0.8648,0.7763,0.3011
204.59333992004395,2020-12-30-11:49:15,86245,26373,26604904,21166,0.7658,0.8029,0.7839,0.298
215.34314274787903,2020-12-30-11:49:25,90394,25542,26605735,17017,0.7797,0.8416,0.8094,0.2474
226.1882345676422,2020-12-30-11:49:36,88234,20961,26610316,19177,0.808,0.8215,0.8147,0.2399
237.06338477134705,2020-12-30-11:49:47,87111,20422,26610855,20300,0.8101,0.811,0.8105,0.2419
247.80080795288086,2020-12-30-11:49:58,87909,24450,26606827,19502,0.7824,0.8184,0.8,0.2528
258.59048438072205,2020-12-30-11:50:09,95812,31221,26600056,11599,0.7542,0.892,0.8174,0.2143
269.42639803886414,2020-12-30-11:50:19,85487,15348,26615929,21924,0.8478,0.7959,0.821,0.2153
280.1780114173889,2020-12-30-11:50:30,91938,21585,26609692,15473,0.8099,0.8559,0.8323,0.2062
291.06617426872253,2020-12-30-11:50:41,88168,18873,26612404,19243,0.8237,0.8208,0.8223,0.2056
301.8919894695282,2020-12-30-11:50:52,91475,19079,26612198,15936,0.8274,0.8516,0.8394,0.1848
312.64775228500366,2020-12-30-11:51:03,91042,22960,26608317,16369,0.7986,0.8476,0.8224,0.2026
