seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
10.227062463760376,2020-12-30-15:07:35,20569,1854710,24776567,86842,0.011,0.1915,0.0207,1.0604
20.034358263015747,2020-12-30-15:07:45,0,0,26631277,107411,nan,nan,nan,0.9629
29.896389722824097,2020-12-30-15:07:55,0,0,26631277,107411,nan,nan,nan,0.9388
39.76009821891785,2020-12-30-15:08:05,0,0,26631277,107411,nan,nan,nan,0.9123
49.66592812538147,2020-12-30-15:08:15,0,0,26631277,107411,nan,nan,nan,0.8787
59.6117057800293,2020-12-30-15:08:25,0,0,26631277,107411,nan,nan,nan,0.8439
69.57584166526794,2020-12-30-15:08:35,0,2,26631275,107411,nan,nan,nan,0.804
79.54605984687805,2020-12-30-15:08:45,9,17,26631260,107402,0.3462,0.0001,0.0002,0.7564
89.54660391807556,2020-12-30-15:08:55,2,7,26631270,107409,0.2222,0.0,0.0,0.7167
99.61396217346191,2020-12-30-15:09:05,102,171,26631106,107309,0.3736,0.0009,0.0019,0.6725
109.72000336647034,2020-12-30-15:09:15,57909,39677,26591600,49502,0.5934,0.5391,0.565,0.5668
119.83630776405334,2020-12-30-15:09:25,91066,44975,26586302,16345,0.6694,0.8478,0.7481,0.4019
129.95612144470215,2020-12-30-15:09:35,85602,33508,26597769,21809,0.7187,0.797,0.7558,0.3512
140.0940215587616,2020-12-30-15:09:45,85889,34028,26597249,21522,0.7162,0.7996,0.7556,0.3268
150.27149081230164,2020-12-30-15:09:55,88205,34078,26597199,19206,0.7213,0.8212,0.768,0.2919
160.4476535320282,2020-12-30-15:10:05,89073,30137,26601140,18338,0.7472,0.8293,0.7861,0.2566
170.63916277885437,2020-12-30-15:10:16,86752,27401,26603876,20659,0.76,0.8077,0.7831,0.2543
180.8426661491394,2020-12-30-15:10:26,85971,24145,26607132,21440,0.7807,0.8004,0.7904,0.2392
191.05671310424805,2020-12-30-15:10:36,90183,24267,26607010,17228,0.788,0.8396,0.813,0.2175
201.33569264411926,2020-12-30-15:10:46,89790,22058,26609219,17621,0.8028,0.8359,0.819,0.2032
211.64931297302246,2020-12-30-15:10:57,90366,22862,26608415,17045,0.7981,0.8413,0.8191,0.2093
221.97363591194153,2020-12-30-15:11:07,85142,12901,26618376,22269,0.8684,0.7927,0.8288,0.1895
232.35957551002502,2020-12-30-15:11:17,95976,32429,26598848,11435,0.7474,0.8935,0.814,0.2064
242.79602909088135,2020-12-30-15:11:28,87890,14688,26616589,19521,0.8568,0.8183,0.8371,0.1753
253.31878852844238,2020-12-30-15:11:38,96522,24362,26606915,10889,0.7985,0.8986,0.8456,0.1682
263.97467494010925,2020-12-30-15:11:49,88193,10045,26621232,19218,0.8977,0.8211,0.8577,0.1559
274.7242693901062,2020-12-30-15:12:00,98577,26030,26605247,8834,0.7911,0.9178,0.8497,0.159
285.47339510917664,2020-12-30-15:12:10,92138,11803,26619474,15273,0.8864,0.8578,0.8719,0.1427
296.3506066799164,2020-12-30-15:12:21,92184,11293,26619984,15227,0.8909,0.8582,0.8742,0.1407
307.1881902217865,2020-12-30-15:12:32,96933,15694,26615583,10478,0.8607,0.9024,0.8811,0.1382
318.24303340911865,2020-12-30-15:12:43,91604,8765,26622512,15807,0.9127,0.8528,0.8817,0.1286
329.11581540107727,2020-12-30-15:12:54,99453,18370,26612907,7958,0.8441,0.9259,0.8831,0.1315
340.0357325077057,2020-12-30-15:13:05,92167,8449,26622828,15244,0.916,0.8581,0.8861,0.1232
351.1596076488495,2020-12-30-15:13:16,100748,20954,26610323,6663,0.8278,0.938,0.8795,0.1269
362.0771532058716,2020-12-30-15:13:27,91424,8095,26623182,15987,0.9187,0.8512,0.8836,0.1224
372.9379153251648,2020-12-30-15:13:38,98915,16639,26614638,8496,0.856,0.9209,0.8873,0.1273
383.9112148284912,2020-12-30-15:13:49,94328,9447,26621830,13083,0.909,0.8782,0.8933,0.1158
394.78773069381714,2020-12-30-15:14:00,97269,13143,26618134,10142,0.881,0.9056,0.8931,0.1193
405.69299483299255,2020-12-30-15:14:11,98818,14763,26616514,8593,0.87,0.92,0.8943,0.1165
416.70671105384827,2020-12-30-15:14:22,95505,8687,26622590,11906,0.9166,0.8892,0.9027,0.1052
427.6117446422577,2020-12-30-15:14:33,100575,14572,26616705,6836,0.8734,0.9364,0.9038,0.1058
438.54891872406006,2020-12-30-15:14:44,92732,6172,26625105,14679,0.9376,0.8633,0.8989,0.1069
449.51534509658813,2020-12-30-15:14:54,102177,18867,26612410,5234,0.8441,0.9513,0.8945,0.1095
460.3799283504486,2020-12-30-15:15:05,90268,4617,26626660,17143,0.9513,0.8404,0.8924,0.1144
471.3145384788513,2020-12-30-15:15:16,99013,14697,26616580,8398,0.8708,0.9218,0.8956,0.1133
482.15188455581665,2020-12-30-15:15:27,98764,13570,26617707,8647,0.8792,0.9195,0.8989,0.1064
493.1461663246155,2020-12-30-15:15:38,96075,8664,26622613,11336,0.9173,0.8945,0.9057,0.1005
504.00033378601074,2020-12-30-15:15:49,100196,12463,26618814,7215,0.8894,0.9328,0.9106,0.097
