seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
8.158218145370483,2020-12-31-19:22:10,8958,2644151,20857390,82461,0.0034,0.098,0.0065,1.1471
18.70359182357788,2020-12-31-19:22:21,3579,152134,23349407,87840,0.023,0.0391,0.029,1.0701
29.307223796844482,2020-12-31-19:22:31,935,35932,23465609,90484,0.0254,0.0102,0.0146,1.037
39.8374445438385,2020-12-31-19:22:42,790,12710,23488831,90629,0.0585,0.0086,0.0151,1.0195
50.40793466567993,2020-12-31-19:22:52,669,4269,23497272,90750,0.1355,0.0073,0.0139,1.0088
60.99151659011841,2020-12-31-19:23:03,2361,4625,23496916,89058,0.338,0.0258,0.048,0.9974
71.5752112865448,2020-12-31-19:23:14,12740,22673,23478868,78679,0.3598,0.1394,0.2009,0.9847
82.19704008102417,2020-12-31-19:23:24,42154,62377,23439164,49265,0.4033,0.4611,0.4303,0.968
92.74239373207092,2020-12-31-19:23:35,83107,121842,23379699,8312,0.4055,0.9091,0.5608,0.9438
103.29564571380615,2020-12-31-19:23:45,87752,115729,23385812,3667,0.4313,0.9599,0.5951,0.931
113.80569958686829,2020-12-31-19:23:56,89299,109606,23391935,2120,0.449,0.9768,0.6152,0.9242
124.31988716125488,2020-12-31-19:24:06,86607,69207,23432334,4812,0.5558,0.9474,0.7006,0.9195
134.85454392433167,2020-12-31-19:24:17,89774,92166,23409375,1645,0.4934,0.982,0.6568,0.9128
145.35377097129822,2020-12-31-19:24:27,90371,89252,23412289,1048,0.5031,0.9885,0.6668,0.9075
155.85304832458496,2020-12-31-19:24:38,88543,56463,23445078,2876,0.6106,0.9685,0.749,0.9032
166.27072167396545,2020-12-31-19:24:48,89842,73040,23428501,1577,0.5516,0.9827,0.7066,0.8987
176.7165551185608,2020-12-31-19:24:59,90798,78997,23422544,621,0.5348,0.9932,0.6952,0.8941
187.14547491073608,2020-12-31-19:25:09,89946,55583,23445958,1473,0.6181,0.9839,0.7592,0.8892
197.66179060935974,2020-12-31-19:25:20,89855,48128,23453413,1564,0.6512,0.9829,0.7834,0.8844
208.15900254249573,2020-12-31-19:25:30,90724,59508,23442033,695,0.6039,0.9924,0.7509,0.88
218.62192511558533,2020-12-31-19:25:41,90690,53605,23447936,729,0.6285,0.992,0.7695,0.8755
229.12866163253784,2020-12-31-19:25:51,89681,38470,23463071,1738,0.6998,0.981,0.8169,0.8713
239.5559663772583,2020-12-31-19:26:02,90735,48186,23453355,684,0.6531,0.9925,0.7878,0.8664
249.9977502822876,2020-12-31-19:26:12,90741,49771,23451770,678,0.6458,0.9926,0.7825,0.8626
