seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
72.73440647125244,2021-01-04-06:30:39,267023,3449288,121885934,226875,0.0719,0.5406,0.1268,0.9744
155.73293280601501,2021-01-04-06:32:02,440902,455730,124879492,52996,0.4917,0.8927,0.6341,0.7695
238.7091133594513,2021-01-04-06:33:25,417178,263644,125071578,76720,0.6128,0.8447,0.7103,0.5481
321.7950723171234,2021-01-04-06:34:48,393026,185731,125149491,100872,0.6791,0.7958,0.7328,0.3802
404.79778599739075,2021-01-04-06:36:11,397940,139488,125195734,95958,0.7405,0.8057,0.7717,0.2765
487.81718587875366,2021-01-04-06:37:34,394385,129721,125205501,99513,0.7525,0.7985,0.7748,0.2536
570.7327427864075,2021-01-04-06:38:57,401459,112331,125222891,92439,0.7814,0.8128,0.7968,0.2275
653.6115427017212,2021-01-04-06:40:20,414007,109598,125225624,79891,0.7907,0.8382,0.8138,0.2057
736.5006287097931,2021-01-04-06:41:43,409711,102382,125232840,84187,0.8001,0.8295,0.8145,0.1957
819.4063637256622,2021-01-04-06:43:06,412849,112028,125223194,81049,0.7866,0.8359,0.8105,0.2035
902.2490692138672,2021-01-04-06:44:29,414460,88520,125246702,79438,0.824,0.8392,0.8315,0.1788
985.1493215560913,2021-01-04-06:45:52,406677,91141,125244081,87221,0.8169,0.8234,0.8201,0.1883
1068.0784657001495,2021-01-04-06:47:15,415368,87029,125248193,78530,0.8268,0.841,0.8338,0.1742
1151.027105808258,2021-01-04-06:48:38,426424,86065,125249157,67474,0.8321,0.8634,0.8474,0.1612
1233.9389989376068,2021-01-04-06:50:00,429768,83085,125252137,64130,0.838,0.8702,0.8538,0.1535
1316.6826963424683,2021-01-04-06:51:23,426989,75623,125259599,66909,0.8495,0.8645,0.857,0.1505
1399.637946844101,2021-01-04-06:52:46,428529,62444,125272778,65369,0.8728,0.8676,0.8702,0.1364
1482.4427206516266,2021-01-04-06:54:09,430923,73839,125261383,62975,0.8537,0.8725,0.863,0.1426
1565.3659234046936,2021-01-04-06:55:32,424463,66516,125268706,69435,0.8645,0.8594,0.862,0.1445
1648.4678568840027,2021-01-04-06:56:55,437904,70400,125264822,55994,0.8615,0.8866,0.8739,0.1303
1731.3479397296906,2021-01-04-06:58:18,438231,58331,125276891,55667,0.8825,0.8873,0.8849,0.119
1814.3764235973358,2021-01-04-06:59:41,443296,63120,125272102,50602,0.8754,0.8975,0.8863,0.1169
1897.392560005188,2021-01-04-07:01:04,446233,60189,125275033,47665,0.8811,0.9035,0.8922,0.1121
1980.3043158054352,2021-01-04-07:02:27,439684,54113,125281109,54214,0.8904,0.8902,0.8903,0.1147
2063.283375263214,2021-01-04-07:03:50,447440,49825,125285397,46458,0.8998,0.9059,0.9029,0.101
2146.2072978019714,2021-01-04-07:05:13,443989,49293,125285929,49909,0.9001,0.8989,0.8995,0.1043
2229.09046792984,2021-01-04-07:06:36,446814,48297,125286925,47084,0.9025,0.9047,0.9036,0.0994
2312.1434795856476,2021-01-04-07:07:59,454123,45619,125289603,39775,0.9087,0.9195,0.9141,0.0896
2395.0895504951477,2021-01-04-07:09:22,452339,41465,125293757,41559,0.916,0.9159,0.9159,0.0867
2478.0338909626007,2021-01-04-07:10:45,453299,36603,125298619,40599,0.9253,0.9178,0.9215,0.0809
2560.77304148674,2021-01-04-07:12:07,456482,45335,125289887,37416,0.9097,0.9242,0.9169,0.0858
2643.76957321167,2021-01-04-07:13:30,451364,41150,125294072,42534,0.9164,0.9139,0.9152,0.0877
2726.7382123470306,2021-01-04-07:14:53,450535,38075,125297147,43363,0.9221,0.9122,0.9171,0.0854
