seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
72.39313173294067,2021-01-02-00:57:07,297039,6651531,116274321,2606229,0.0427,0.1023,0.0603,0.9935
155.3932752609253,2021-01-02-00:58:30,823040,545672,122380180,2080228,0.6013,0.2835,0.3853,0.749
238.3418037891388,2021-01-02-00:59:53,2539150,808876,122116976,364118,0.7584,0.8746,0.8124,0.3835
321.1645715236664,2021-01-02-01:01:15,2559474,421217,122504635,343794,0.8587,0.8816,0.87,0.2101
403.86924481391907,2021-01-02-01:02:38,2539935,451383,122474469,363333,0.8491,0.8749,0.8618,0.1757
486.63144516944885,2021-01-02-01:04:01,2570509,321109,122604743,332759,0.889,0.8854,0.8872,0.139
569.3785510063171,2021-01-02-01:05:24,2633809,247595,122678257,269459,0.9141,0.9072,0.9106,0.1099
652.1935653686523,2021-01-02-01:06:47,2657872,258940,122666912,245396,0.9112,0.9155,0.9133,0.1035
735.0130271911621,2021-01-02-01:08:09,2699356,245974,122679878,203912,0.9165,0.9298,0.9231,0.0911
817.8594832420349,2021-01-02-01:09:32,2662471,212771,122713081,240797,0.926,0.9171,0.9215,0.0919
900.6491963863373,2021-01-02-01:10:55,2701152,229449,122696403,202116,0.9217,0.9304,0.926,0.0861
983.5425078868866,2021-01-02-01:12:18,2658338,239487,122686365,244930,0.9174,0.9156,0.9165,0.0956
1066.2360241413116,2021-01-02-01:13:41,2642637,214466,122711386,260631,0.9249,0.9102,0.9175,0.0946
1149.0584053993225,2021-01-02-01:15:03,2688046,276304,122649548,215222,0.9068,0.9259,0.9162,0.0953
1231.8086106777191,2021-01-02-01:16:26,2666446,228200,122697652,236822,0.9212,0.9184,0.9198,0.0907
1314.5076222419739,2021-01-02-01:17:49,2703611,257087,122668765,199657,0.9132,0.9312,0.9221,0.0876
1397.2908697128296,2021-01-02-01:19:12,2707894,186846,122739006,195374,0.9355,0.9327,0.9341,0.0747
1479.997011423111,2021-01-02-01:20:34,2721619,183993,122741859,181649,0.9367,0.9374,0.9371,0.0709
1562.8522272109985,2021-01-02-01:21:57,2720354,210612,122715240,182914,0.9281,0.937,0.9325,0.0761
1645.5935702323914,2021-01-02-01:23:20,2723092,165822,122760030,180176,0.9426,0.9379,0.9403,0.068
1728.3883912563324,2021-01-02-01:24:43,2738343,165423,122760429,164925,0.943,0.9432,0.9431,0.0644
1811.1998987197876,2021-01-02-01:26:06,2753838,171659,122754193,149430,0.9413,0.9485,0.9449,0.0616
1894.123253583908,2021-01-02-01:27:28,2735575,144384,122781468,167693,0.9499,0.9422,0.946,0.0604
1977.0246019363403,2021-01-02-01:28:51,2764232,177347,122748505,139036,0.9397,0.9521,0.9459,0.0601
2059.7940878868103,2021-01-02-01:30:14,2739281,140910,122784942,163987,0.9511,0.9435,0.9473,0.0591
2142.599885702133,2021-01-02-01:31:37,2772092,163258,122762594,131176,0.9444,0.9548,0.9496,0.0559
2225.473030567169,2021-01-02-01:33:00,2737573,141287,122784565,165695,0.9509,0.9429,0.9469,0.0589
2308.4030306339264,2021-01-02-01:34:23,2764632,160662,122765190,138636,0.9451,0.9522,0.9486,0.0567
2391.1929206848145,2021-01-02-01:35:46,2756825,155323,122770529,146443,0.9467,0.9496,0.9481,0.0581
2474.0984637737274,2021-01-02-01:37:08,2765738,141568,122784284,137530,0.9513,0.9526,0.952,0.0534
2556.976021051407,2021-01-02-01:38:31,2769451,159381,122766471,133817,0.9456,0.9539,0.9497,0.0557
2639.9026091098785,2021-01-02-01:39:54,2759797,133322,122792530,143471,0.9539,0.9506,0.9522,0.0528
2722.5392968654633,2021-01-02-01:41:17,2770537,146880,122778972,132731,0.9497,0.9543,0.952,0.0531
2805.2303624153137,2021-01-02-01:42:40,2774424,146851,122779001,128844,0.9497,0.9556,0.9527,0.0527
2888.0362141132355,2021-01-02-01:44:02,2766492,145503,122780349,136776,0.95,0.9529,0.9515,0.0536
2970.733743429184,2021-01-02-01:45:25,2774455,127596,122798256,128813,0.956,0.9556,0.9558,0.0487
3053.5009009838104,2021-01-02-01:46:48,2787758,133755,122792097,115510,0.9542,0.9602,0.9572,0.0474
3136.253996372223,2021-01-02-01:48:11,2771895,126106,122799746,131373,0.9565,0.9547,0.9556,0.0493
3219.024208545685,2021-01-02-01:49:33,2777385,139677,122786175,125883,0.9521,0.9566,0.9544,0.0504
3301.842704772949,2021-01-02-01:50:56,2781450,125295,122800557,121818,0.9569,0.958,0.9575,0.0469
3384.6344089508057,2021-01-02-01:52:19,2783444,119660,122806192,119824,0.9588,0.9587,0.9588,0.0456
3467.481292486191,2021-01-02-01:53:42,2787012,134856,122790996,116256,0.9538,0.96,0.9569,0.0478
3550.2618260383606,2021-01-02-01:55:05,2776144,134890,122790962,127124,0.9537,0.9562,0.9549,0.0497
3633.0208172798157,2021-01-02-01:56:27,2785209,135210,122790642,118059,0.9537,0.9593,0.9565,0.0482
3715.8253498077393,2021-01-02-01:57:50,2775774,121109,122804743,127494,0.9582,0.9561,0.9571,0.0471
3798.774133682251,2021-01-02-01:59:13,2787977,131868,122793984,115291,0.9548,0.9603,0.9576,0.0466
3881.7072474956512,2021-01-02-02:00:36,2798029,124982,122800870,105239,0.9572,0.9638,0.9605,0.0435
3964.6169633865356,2021-01-02-02:01:59,2789964,111216,122814636,113304,0.9617,0.961,0.9613,0.0428
4047.491322517395,2021-01-02-02:03:22,2793151,128439,122797413,110117,0.956,0.9621,0.959,0.0453
4130.390016078949,2021-01-02-02:04:45,2778234,135495,122790357,125034,0.9535,0.9569,0.9552,0.0488
4213.210701704025,2021-01-02-02:06:08,2789667,125453,122800399,113601,0.957,0.9609,0.9589,0.0452
