seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
74.00810503959656,2020-12-31-07:17:32,110049,3044976,120424537,2249558,0.0349,0.0466,0.0399,0.9617
186.32700753211975,2020-12-31-07:19:24,2,20706,123387623,2420789,0.0001,0.0,0.0,0.8375
299.0588095188141,2020-12-31-07:21:17,15,946,123547800,2280359,0.0156,0.0,0.0,0.7635
411.56810450553894,2020-12-31-07:23:09,4761,45505,123717167,2061687,0.0947,0.0023,0.0045,0.7122
524.0281043052673,2020-12-31-07:25:02,0,0,123716217,2112903,nan,nan,nan,0.6094
636.631974697113,2020-12-31-07:26:54,0,0,123808297,2020823,nan,nan,nan,0.5917
748.9746565818787,2020-12-31-07:28:47,0,0,123888135,1940985,nan,nan,nan,0.5527
861.5796864032745,2020-12-31-07:30:39,457,275,123556573,2271815,0.6243,0.0002,0.0004,0.5208
974.0212528705597,2020-12-31-07:32:32,1017546,406630,123336358,1068586,0.7145,0.4878,0.5797,0.3897
1086.4362118244171,2020-12-31-07:34:24,1919032,585433,122906286,418369,0.7662,0.821,0.7927,0.2319
1199.0136351585388,2020-12-31-07:36:17,2003007,618737,122815378,391998,0.764,0.8363,0.7985,0.2185
1311.4880409240723,2020-12-31-07:38:09,1929409,612479,122909644,377588,0.759,0.8363,0.7958,0.2376
1424.078640460968,2020-12-31-07:40:02,1937981,552724,122997482,340933,0.7781,0.8504,0.8126,0.213
1536.7199742794037,2020-12-31-07:41:54,1971118,561861,122984615,311526,0.7782,0.8635,0.8186,0.1991
1649.215486049652,2020-12-31-07:43:47,1483443,318868,123735395,291414,0.8231,0.8358,0.8294,0.2002
1761.9539108276367,2020-12-31-07:45:40,2033641,328395,123097854,369230,0.861,0.8463,0.8536,0.1636
1874.4719920158386,2020-12-31-07:47:32,2070206,464779,122989016,305119,0.8167,0.8715,0.8432,0.1683
1986.9037075042725,2020-12-31-07:49:25,1979078,360817,123263209,226016,0.8458,0.8975,0.8709,0.1414
2099.560210466385,2020-12-31-07:51:17,1828892,269991,123461631,268606,0.8714,0.8719,0.8717,0.146
2211.8958978652954,2020-12-31-07:53:10,2186903,356888,123017291,268038,0.8597,0.8908,0.875,0.1349
2324.4680745601654,2020-12-31-07:55:02,2000621,294700,123335191,198608,0.8716,0.9097,0.8902,0.1216
2437.151484966278,2020-12-31-07:56:55,1790847,240603,123580491,217179,0.8816,0.8918,0.8867,0.1283
2549.942996263504,2020-12-31-07:58:48,2015649,233482,123310686,269303,0.8962,0.8821,0.8891,0.1177
2662.730299472809,2020-12-31-08:00:40,2243169,311984,123046936,227031,0.8779,0.9081,0.8927,0.1187
2775.394017457962,2020-12-31-08:02:33,1935311,234790,123464983,194036,0.8918,0.9089,0.9003,0.1136
2887.948445558548,2020-12-31-08:04:26,2049046,263093,123284503,232478,0.8862,0.8981,0.8921,0.1195
3000.416415452957,2020-12-31-08:06:18,2029895,265190,123306979,227056,0.8845,0.8994,0.8919,0.1161
3112.8996312618256,2020-12-31-08:08:11,2069117,300797,123269969,189237,0.8731,0.9162,0.8941,0.1214
3225.3478224277496,2020-12-31-08:10:03,1959098,232278,123435747,201997,0.894,0.9065,0.9002,0.1086
3338.0329988002777,2020-12-31-08:11:56,1862393,230482,123531460,204785,0.8899,0.9009,0.8954,0.1194
3450.5643656253815,2020-12-31-08:13:48,2137581,242252,123244840,204447,0.8982,0.9127,0.9054,0.1043
3563.0160405635834,2020-12-31-08:15:41,2171751,242948,123234979,179442,0.8994,0.9237,0.9114,0.1007
3675.6564309597015,2020-12-31-08:17:33,2053663,221050,123391481,162926,0.9028,0.9265,0.9145,0.0935
3788.522276878357,2020-12-31-08:19:26,1887200,168083,123592797,181040,0.9182,0.9125,0.9153,0.098
3901.267490386963,2020-12-31-08:21:19,2101479,254194,123298673,174774,0.8921,0.9232,0.9074,0.1036
4013.934970855713,2020-12-31-08:23:12,1874929,207545,123555724,190922,0.9003,0.9076,0.9039,0.105
4126.668590545654,2020-12-31-08:25:04,2125485,227434,123283299,192902,0.9033,0.9168,0.91,0.0966
4239.095282793045,2020-12-31-08:26:57,2350290,229922,123087858,161050,0.9109,0.9359,0.9232,0.0832
4352.015172719955,2020-12-31-08:28:50,1933852,188476,123534293,172499,0.9112,0.9181,0.9146,0.0985
4464.675691366196,2020-12-31-08:30:42,2253406,230155,123160487,185072,0.9073,0.9241,0.9156,0.0899
4577.427488565445,2020-12-31-08:32:35,2111504,186809,123367241,163566,0.9187,0.9281,0.9234,0.0854
4690.228737592697,2020-12-31-08:34:28,2223339,166024,123242073,197684,0.9305,0.9183,0.9244,0.0852
4802.874813318253,2020-12-31-08:36:21,2450748,246929,122975575,155868,0.9085,0.9402,0.9241,0.0817
