seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
9.014583110809326,2020-12-30-01:45:54,20866,2453027,24178250,86545,0.0084,0.1943,0.0162,1.4136
19.65363335609436,2020-12-30-01:46:05,61,10730,26620547,107350,0.0057,0.0006,0.001,1.0816
30.166283130645752,2020-12-30-01:46:16,9,4,26631273,107402,0.6923,0.0001,0.0002,0.9704
40.89113450050354,2020-12-30-01:46:26,0,3,26631274,107411,nan,nan,nan,0.8163
51.486737966537476,2020-12-30-01:46:37,1,2,26631275,107410,0.3333,0.0,0.0,0.7629
62.13418459892273,2020-12-30-01:46:48,0,4,26631273,107411,nan,nan,nan,0.6583
72.80507516860962,2020-12-30-01:46:58,9,161,26631116,107402,0.0529,0.0001,0.0002,0.7514
83.5023033618927,2020-12-30-01:47:09,116,278,26630999,107295,0.2944,0.0011,0.0022,0.5408
94.15530800819397,2020-12-30-01:47:20,12,25,26631252,107399,0.3243,0.0001,0.0002,0.5252
104.80926942825317,2020-12-30-01:47:30,10,16,26631261,107401,0.3846,0.0001,0.0002,0.5056
115.3857216835022,2020-12-30-01:47:41,2,15,26631262,107409,0.1176,0.0,0.0,0.4889
126.02315354347229,2020-12-30-01:47:51,3,5,26631272,107408,0.375,0.0,0.0001,0.4858
136.73304748535156,2020-12-30-01:48:02,3,7,26631270,107408,0.3,0.0,0.0001,0.486
147.39405965805054,2020-12-30-01:48:13,2,15,26631262,107409,0.1176,0.0,0.0,0.4656
158.0822582244873,2020-12-30-01:48:24,0,4,26631273,107411,nan,nan,nan,0.4687
168.61658930778503,2020-12-30-01:48:34,5,9,26631268,107406,0.3571,0.0,0.0001,0.4623
179.23988699913025,2020-12-30-01:48:45,3,5,26631272,107408,0.375,0.0,0.0001,0.4457
189.84383296966553,2020-12-30-01:48:55,13,5,26631272,107398,0.7222,0.0001,0.0002,0.47
200.43878531455994,2020-12-30-01:49:06,12,17,26631260,107399,0.4138,0.0001,0.0002,0.4551
211.09558987617493,2020-12-30-01:49:17,14,29,26631248,107397,0.3256,0.0001,0.0003,0.4444
221.57903814315796,2020-12-30-01:49:27,20,19,26631258,107391,0.5128,0.0002,0.0004,0.4384
232.309223651886,2020-12-30-01:49:38,48,25,26631252,107363,0.6575,0.0004,0.0009,0.4342
243.02425265312195,2020-12-30-01:49:48,45,30,26631247,107366,0.6,0.0004,0.0008,0.424
253.59794855117798,2020-12-30-01:49:59,33,47,26631230,107378,0.4125,0.0003,0.0006,0.4254
264.31426787376404,2020-12-30-01:50:10,47,56,26631221,107364,0.4563,0.0004,0.0009,0.4221
275.01457476615906,2020-12-30-01:50:20,47,47,26631230,107364,0.5,0.0004,0.0009,0.4184
285.6241090297699,2020-12-30-01:50:31,52,32,26631245,107359,0.619,0.0005,0.001,0.4191
