seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
8.016135215759277,2020-12-31-17:29:48,16108,4298160,19203381,75311,0.0037,0.1762,0.0073,1.1602
18.411672830581665,2020-12-31-17:29:59,0,89,23501452,91419,nan,nan,nan,1.0192
28.7939236164093,2020-12-31-17:30:09,0,20,23501521,91419,nan,nan,nan,0.9774
39.21376347541809,2020-12-31-17:30:19,0,0,23501541,91419,nan,nan,nan,0.9705
49.671791076660156,2020-12-31-17:30:30,0,0,23501541,91419,nan,nan,nan,0.9289
60.061373472213745,2020-12-31-17:30:40,0,0,23501541,91419,nan,nan,nan,0.909
70.39154243469238,2020-12-31-17:30:51,0,0,23501541,91419,nan,nan,nan,0.885
80.7244234085083,2020-12-31-17:31:01,0,0,23501541,91419,nan,nan,nan,0.8568
91.13442373275757,2020-12-31-17:31:11,0,0,23501541,91419,nan,nan,nan,0.8276
101.51771998405457,2020-12-31-17:31:22,0,0,23501541,91419,nan,nan,nan,0.7935
111.85196661949158,2020-12-31-17:31:32,0,0,23501541,91419,nan,nan,nan,0.7619
122.21170949935913,2020-12-31-17:31:42,0,0,23501541,91419,nan,nan,nan,0.7216
132.56447768211365,2020-12-31-17:31:53,0,0,23501541,91419,nan,nan,nan,0.6901
142.9981017112732,2020-12-31-17:32:03,0,0,23501541,91419,nan,nan,nan,0.6602
153.35595846176147,2020-12-31-17:32:14,0,0,23501541,91419,nan,nan,nan,0.6209
163.75673246383667,2020-12-31-17:32:24,0,0,23501541,91419,nan,nan,nan,0.6018
174.10914635658264,2020-12-31-17:32:34,0,0,23501541,91419,nan,nan,nan,0.5667
184.48755621910095,2020-12-31-17:32:45,0,0,23501541,91419,nan,nan,nan,0.5595
194.86908411979675,2020-12-31-17:32:55,0,0,23501541,91419,nan,nan,nan,0.5229
205.25077080726624,2020-12-31-17:33:05,0,10,23501531,91419,nan,nan,nan,0.5167
