seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
9.614095449447632,2020-12-30-12:37:38,20835,3910695,22720582,86576,0.0053,0.194,0.0103,1.392
20.38277268409729,2020-12-30-12:37:48,0,0,26631277,107411,nan,nan,nan,1.0867
31.131348133087158,2020-12-30-12:37:59,0,0,26631277,107411,nan,nan,nan,1.0473
41.88023781776428,2020-12-30-12:38:10,0,0,26631277,107411,nan,nan,nan,0.9986
52.71475625038147,2020-12-30-12:38:21,0,0,26631277,107411,nan,nan,nan,0.9669
63.39599299430847,2020-12-30-12:38:31,0,0,26631277,107411,nan,nan,nan,0.9291
74.13017201423645,2020-12-30-12:38:42,0,0,26631277,107411,nan,nan,nan,0.8941
84.99129366874695,2020-12-30-12:38:53,0,0,26631277,107411,nan,nan,nan,0.8516
95.84197926521301,2020-12-30-12:39:04,0,0,26631277,107411,nan,nan,nan,0.8106
106.60937213897705,2020-12-30-12:39:15,0,0,26631277,107411,nan,nan,nan,0.7642
117.36426424980164,2020-12-30-12:39:25,0,0,26631277,107411,nan,nan,nan,0.7187
128.19949674606323,2020-12-30-12:39:36,0,0,26631277,107411,nan,nan,nan,0.6701
139.0632734298706,2020-12-30-12:39:47,0,0,26631277,107411,nan,nan,nan,0.6265
149.91053199768066,2020-12-30-12:39:58,0,0,26631277,107411,nan,nan,nan,0.5804
160.65435147285461,2020-12-30-12:40:09,0,0,26631277,107411,nan,nan,nan,0.5592
171.42455983161926,2020-12-30-12:40:19,0,0,26631277,107411,nan,nan,nan,0.5341
182.25026512145996,2020-12-30-12:40:30,0,0,26631277,107411,nan,nan,nan,0.5001
192.99447298049927,2020-12-30-12:40:41,0,0,26631277,107411,nan,nan,nan,0.517
203.77278757095337,2020-12-30-12:40:52,0,0,26631277,107411,nan,nan,nan,0.5044
214.53862857818604,2020-12-30-12:41:02,0,0,26631277,107411,nan,nan,nan,0.4826
225.2831153869629,2020-12-30-12:41:13,0,0,26631277,107411,nan,nan,nan,0.462
236.1424367427826,2020-12-30-12:41:24,0,0,26631277,107411,nan,nan,nan,0.4613
246.98200798034668,2020-12-30-12:41:35,49,0,26631277,107362,1.0,0.0005,0.0009,0.4578
