seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
9.627520322799683,2020-12-30-15:28:51,22702,2374372,24256905,84709,0.0095,0.2114,0.0181,1.0715
20.49972105026245,2020-12-30-15:29:02,0,0,26631277,107411,nan,nan,nan,0.9842
31.442700386047363,2020-12-30-15:29:13,48440,78796,26552481,58971,0.3807,0.451,0.4129,0.9294
42.316370487213135,2020-12-30-15:29:24,98121,129216,26502061,9290,0.4316,0.9135,0.5862,0.8682
53.14376497268677,2020-12-30-15:29:34,99505,114866,26516411,7906,0.4642,0.9264,0.6185,0.8226
64.00349354743958,2020-12-30-15:29:45,97857,104631,26526646,9554,0.4833,0.9111,0.6315,0.7809
74.8532247543335,2020-12-30-15:29:56,96509,85079,26546198,10902,0.5315,0.8985,0.6679,0.7297
85.78715062141418,2020-12-30-15:30:07,97898,84598,26546679,9513,0.5364,0.9114,0.6754,0.6619
96.70770597457886,2020-12-30-15:30:18,96170,58880,26572397,11241,0.6203,0.8953,0.7328,0.5839
107.49912881851196,2020-12-30-15:30:29,94352,44044,26587233,13059,0.6818,0.8784,0.7677,0.5083
118.3766438961029,2020-12-30-15:30:40,91339,46014,26585263,16072,0.665,0.8504,0.7463,0.4627
129.32951736450195,2020-12-30-15:30:51,88187,36472,26594805,19224,0.7074,0.821,0.76,0.4111
140.2004053592682,2020-12-30-15:31:02,87407,27123,26604154,20004,0.7632,0.8138,0.7877,0.3435
151.05096983909607,2020-12-30-15:31:12,91647,28814,26602463,15764,0.7608,0.8532,0.8044,0.3064
161.89539647102356,2020-12-30-15:31:23,90349,23303,26607974,17062,0.795,0.8412,0.8174,0.271
172.75447010993958,2020-12-30-15:31:34,90976,21789,26609488,16435,0.8068,0.847,0.8264,0.2361
183.60692024230957,2020-12-30-15:31:45,89777,21720,26609557,17634,0.8052,0.8358,0.8202,0.2334
194.449604511261,2020-12-30-15:31:56,96031,29058,26602219,11380,0.7677,0.8941,0.8261,0.2121
205.32046556472778,2020-12-30-15:32:07,88360,12376,26618901,19051,0.8771,0.8226,0.849,0.1894
216.16888809204102,2020-12-30-15:32:18,95600,20109,26611168,11811,0.8262,0.89,0.8569,0.1781
227.02246594429016,2020-12-30-15:32:28,93377,16379,26614898,14034,0.8508,0.8693,0.86,0.1745
237.86838674545288,2020-12-30-15:32:39,91466,13096,26618181,15945,0.8748,0.8516,0.863,0.1687
