seconds,time,tp,fp,tn,fn,precision,recall,dice,loss
7.9805591106414795,2020-12-31-20:28:37,29076,5186033,18315508,62343,0.0056,0.3181,0.011,1.178
18.453165769577026,2020-12-31-20:28:48,1423,283963,23217578,89996,0.005,0.0156,0.0076,1.0841
28.802669286727905,2020-12-31-20:28:58,130,20435,23481106,91289,0.0063,0.0014,0.0023,1.0411
39.20705318450928,2020-12-31-20:29:09,3,1893,23499648,91416,0.0016,0.0,0.0001,1.0206
49.657469272613525,2020-12-31-20:29:19,0,77,23501464,91419,nan,nan,nan,1.0095
60.07438802719116,2020-12-31-20:29:30,0,0,23501541,91419,nan,nan,nan,1.0015
70.441969871521,2020-12-31-20:29:40,0,0,23501541,91419,nan,nan,nan,0.9932
80.81030678749084,2020-12-31-20:29:50,0,0,23501541,91419,nan,nan,nan,0.9848
91.13024687767029,2020-12-31-20:30:01,0,0,23501541,91419,nan,nan,nan,0.9798
101.53807711601257,2020-12-31-20:30:11,0,0,23501541,91419,nan,nan,nan,0.9757
111.93219184875488,2020-12-31-20:30:21,0,0,23501541,91419,nan,nan,nan,0.9726
122.31354188919067,2020-12-31-20:30:32,0,0,23501541,91419,nan,nan,nan,0.9699
132.70259857177734,2020-12-31-20:30:42,0,0,23501541,91419,nan,nan,nan,0.9675
143.0815544128418,2020-12-31-20:30:53,0,0,23501541,91419,nan,nan,nan,0.9651
153.53514337539673,2020-12-31-20:31:03,0,0,23501541,91419,nan,nan,nan,0.9627
163.9374921321869,2020-12-31-20:31:13,0,1,23501540,91419,nan,nan,nan,0.9605
174.3700089454651,2020-12-31-20:31:24,6,18,23501523,91413,0.25,0.0001,0.0001,0.9583
184.73687934875488,2020-12-31-20:31:34,39,30,23501511,91380,0.5652,0.0004,0.0009,0.9564
195.09508275985718,2020-12-31-20:31:45,171,31,23501510,91248,0.8465,0.0019,0.0037,0.9545
205.4928195476532,2020-12-31-20:31:55,1551,71,23501470,89868,0.9562,0.017,0.0333,0.9524
215.8539743423462,2020-12-31-20:32:05,13482,3166,23498375,77937,0.8098,0.1475,0.2495,0.9486
226.30225467681885,2020-12-31-20:32:16,70436,31830,23469711,20983,0.6888,0.7705,0.7273,0.9296
236.74137687683105,2020-12-31-20:32:26,90918,68792,23432749,501,0.5693,0.9945,0.7241,0.8991
247.1163604259491,2020-12-31-20:32:37,90270,59176,23442365,1149,0.604,0.9874,0.7495,0.8925
257.52132415771484,2020-12-31-20:32:47,90727,55937,23445604,692,0.6186,0.9924,0.7621,0.8885
267.87732434272766,2020-12-31-20:32:57,90118,47178,23454363,1301,0.6564,0.9858,0.788,0.8835
278.33322978019714,2020-12-31-20:33:08,90581,58122,23443419,838,0.6091,0.9908,0.7545,0.8776
288.75614643096924,2020-12-31-20:33:18,89823,38493,23463048,1596,0.7,0.9825,0.8176,0.8714
299.2043867111206,2020-12-31-20:33:29,90833,55246,23446295,586,0.6218,0.9936,0.7649,0.8664
309.57370352745056,2020-12-31-20:33:39,90045,39514,23462027,1374,0.695,0.985,0.815,0.8612
319.97483015060425,2020-12-31-20:33:49,90754,46009,23455532,665,0.6636,0.9927,0.7955,0.8561
330.33088994026184,2020-12-31-20:34:00,90568,38312,23463229,851,0.7027,0.9907,0.8222,0.8506
340.8156576156616,2020-12-31-20:34:10,90499,39810,23461731,920,0.6945,0.9899,0.8163,0.8461
351.2453360557556,2020-12-31-20:34:21,90676,37681,23463860,743,0.7064,0.9919,0.8252,0.8408
361.6502912044525,2020-12-31-20:34:31,90539,33147,23468394,880,0.732,0.9904,0.8418,0.8354
372.05622243881226,2020-12-31-20:34:41,90762,35548,23465993,657,0.7186,0.9928,0.8337,0.8305
382.3762295246124,2020-12-31-20:34:52,90363,33821,23467720,1056,0.7277,0.9884,0.8382,0.8259
392.8423526287079,2020-12-31-20:35:02,90427,29277,23472264,992,0.7554,0.9891,0.8566,0.8201
403.2376308441162,2020-12-31-20:35:13,90814,32346,23469195,605,0.7374,0.9934,0.8464,0.8146
413.64093351364136,2020-12-31-20:35:23,90307,24984,23476557,1112,0.7833,0.9878,0.8738,0.809
